,index,numberOfGroups,pubNum,locality,numOfCoop,method,application_id,server_id,x,y,capacity,used,connection,cp,mpnum,cluster_id,a,b,d
477,13,64,2,5,4,RLCCA,1,14,10.0,20.0,640,0.0,0,0.0,0,0,1.0,1.0,
478,14,64,2,5,4,RLCCA,1,15,15.0,20.0,640,256.0,61,1584.0,10,2,1.0,1.0,6.285976387150014
479,15,64,2,5,4,RLCCA,1,16,20.0,20.0,640,0.0,0,0.0,0,2,1.0,1.0,
480,0,64,2,5,4,RLCCA,1,1,5.0,5.0,640,634.0,100,2948.0,22,3,1.0,1.0,5.326061600567473
481,1,64,2,5,4,RLCCA,1,2,10.0,5.0,640,338.0,73,1792.0,13,3,1.0,1.0,5.745191089610862
482,2,64,2,5,4,RLCCA,1,3,15.0,5.0,640,638.0,112,3170.0,23,1,1.0,1.0,5.297893447444092
483,3,64,2,5,4,RLCCA,1,4,20.0,5.0,640,572.0,71,2014.0,21,1,1.0,1.0,5.00505503166025
484,4,64,2,5,4,RLCCA,1,5,5.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
485,5,64,2,5,4,RLCCA,1,6,10.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
486,6,64,2,5,4,RLCCA,1,7,15.0,10.0,640,140.0,14,374.0,5,1,1.0,1.0,5.823701870330522
487,7,64,2,5,4,RLCCA,1,8,20.0,10.0,640,0.0,0,0.0,0,1,1.0,1.0,
488,8,64,2,5,4,RLCCA,1,9,5.0,15.0,640,512.0,97,3200.0,18,0,1.0,1.0,5.713789700357096
489,9,64,2,5,4,RLCCA,1,10,10.0,15.0,640,464.0,91,2644.0,17,0,1.0,1.0,6.370936127770567
490,10,64,2,5,4,RLCCA,1,11,15.0,15.0,640,500.0,107,3188.0,17,2,1.0,1.0,5.635058346020204
491,11,64,2,5,4,RLCCA,1,12,20.0,15.0,640,560.0,93,2506.0,21,2,1.0,1.0,5.323902941603349
492,12,64,2,5,4,RLCCA,1,13,5.0,20.0,640,462.0,76,2296.0,17,0,1.0,1.0,4.963787862073751
493,13,64,2,5,4,RLCCA,1,14,10.0,20.0,640,0.0,0,0.0,0,0,1.0,1.0,
494,14,64,2,5,4,RLCCA,1,15,15.0,20.0,640,256.0,61,1584.0,10,2,1.0,1.0,6.285976387150014
495,15,64,2,5,4,RLCCA,1,16,20.0,20.0,640,0.0,0,0.0,0,2,1.0,1.0,
496,0,64,2,5,4,RLCCA,1,1,5.0,5.0,640,634.0,100,2948.0,22,3,1.0,1.0,5.326061600567473
497,1,64,2,5,4,RLCCA,1,2,10.0,5.0,640,338.0,73,1792.0,13,3,1.0,1.0,5.745191089610862
498,2,64,2,5,4,RLCCA,1,3,15.0,5.0,640,638.0,112,3170.0,23,1,1.0,1.0,5.297893447444092
499,3,64,2,5,4,RLCCA,1,4,20.0,5.0,640,572.0,71,2014.0,21,1,1.0,1.0,5.00505503166025
500,4,64,2,5,4,RLCCA,1,5,5.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
501,5,64,2,5,4,RLCCA,1,6,10.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
502,6,64,2,5,4,RLCCA,1,7,15.0,10.0,640,140.0,14,374.0,5,1,1.0,1.0,5.823701870330522
503,7,64,2,5,4,RLCCA,1,8,20.0,10.0,640,0.0,0,0.0,0,1,1.0,1.0,
504,8,64,2,5,4,RLCCA,1,9,5.0,15.0,640,512.0,97,3200.0,18,0,1.0,1.0,5.713789700357096
505,9,64,2,5,4,RLCCA,1,10,10.0,15.0,640,464.0,91,2644.0,17,0,1.0,1.0,6.370936127770567
506,10,64,2,5,4,RLCCA,1,11,15.0,15.0,640,500.0,107,3188.0,17,2,1.0,1.0,5.635058346020204
507,11,64,2,5,4,RLCCA,1,12,20.0,15.0,640,560.0,93,2506.0,21,2,1.0,1.0,5.323902941603349
508,12,64,2,5,4,RLCCA,1,13,5.0,20.0,640,462.0,76,2296.0,17,0,1.0,1.0,4.963787862073751
509,13,64,2,5,4,RLCCA,1,14,10.0,20.0,640,0.0,0,0.0,0,0,1.0,1.0,
510,14,64,2,5,4,RLCCA,1,15,15.0,20.0,640,256.0,61,1584.0,10,2,1.0,1.0,6.285976387150014
511,15,64,2,5,4,RLCCA,1,16,20.0,20.0,640,0.0,0,0.0,0,2,1.0,1.0,
512,0,64,2,5,4,RLCCA,1,1,5.0,5.0,640,634.0,100,2948.0,22,3,1.0,1.0,5.326061600567473
513,1,64,2,5,4,RLCCA,1,2,10.0,5.0,640,338.0,73,1792.0,13,3,1.0,1.0,5.745191089610862
514,2,64,2,5,4,RLCCA,1,3,15.0,5.0,640,638.0,112,3170.0,23,1,1.0,1.0,5.297893447444092
515,3,64,2,5,4,RLCCA,1,4,20.0,5.0,640,572.0,71,2014.0,21,1,1.0,1.0,5.00505503166025
516,4,64,2,5,4,RLCCA,1,5,5.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
517,5,64,2,5,4,RLCCA,1,6,10.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
518,6,64,2,5,4,RLCCA,1,7,15.0,10.0,640,140.0,14,374.0,5,1,1.0,1.0,5.823701870330522
519,7,64,2,5,4,RLCCA,1,8,20.0,10.0,640,0.0,0,0.0,0,1,1.0,1.0,
520,8,64,2,5,4,RLCCA,1,9,5.0,15.0,640,512.0,97,3200.0,18,0,1.0,1.0,5.713789700357096
521,9,64,2,5,4,RLCCA,1,10,10.0,15.0,640,464.0,91,2644.0,17,0,1.0,1.0,6.370936127770567
522,10,64,2,5,4,RLCCA,1,11,15.0,15.0,640,500.0,107,3188.0,17,2,1.0,1.0,5.635058346020204
523,11,64,2,5,4,RLCCA,1,12,20.0,15.0,640,560.0,93,2506.0,21,2,1.0,1.0,5.323902941603349
524,12,64,2,5,4,RLCCA,1,13,5.0,20.0,640,462.0,76,2296.0,17,0,1.0,1.0,4.963787862073751
525,13,64,2,5,4,RLCCA,1,14,10.0,20.0,640,0.0,0,0.0,0,0,1.0,1.0,
526,14,64,2,5,4,RLCCA,1,15,15.0,20.0,640,256.0,61,1584.0,10,2,1.0,1.0,6.285976387150014
527,15,64,2,5,4,RLCCA,1,16,20.0,20.0,640,0.0,0,0.0,0,2,1.0,1.0,
528,0,64,2,5,4,RLCCA,1,1,5.0,5.0,640,634.0,100,2948.0,22,3,1.0,1.0,5.326061600567473
529,1,64,2,5,4,RLCCA,1,2,10.0,5.0,640,338.0,73,1792.0,13,3,1.0,1.0,5.745191089610862
530,2,64,2,5,4,RLCCA,1,3,15.0,5.0,640,638.0,112,3170.0,23,1,1.0,1.0,5.297893447444092
531,3,64,2,5,4,RLCCA,1,4,20.0,5.0,640,572.0,71,2014.0,21,1,1.0,1.0,5.00505503166025
532,4,64,2,5,4,RLCCA,1,5,5.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
533,5,64,2,5,4,RLCCA,1,6,10.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
